symbol	name	chrom	start	end	strand
GRXCR1	glutaredoxin and cysteine rich domain containing 1	chr4	42892713	43030658	+
KCTD8	potassium channel tetramerization domain containing 8	chr4	44173903	44448928	-
YIPF7	Yip1 domain family member 7	chr4	44622088	44678795	-
GUF1	GTP binding elongation factor GUF1	chr4	44678420	44700928	+
GNPDA2	glucosamine-6-phosphate deaminase 2	chr4	44682200	44726588	-
GABRG1	gamma-aminobutyric acid type A receptor subunit gamma1	chr4	46035769	46124054	-
GABRA2	gamma-aminobutyric acid type A receptor subunit alpha2	chr4	46243548	46475230	-
COX7B2	cytochrome c oxidase subunit 7B2	chr4	46734827	46909245	-
GABRA4	gamma-aminobutyric acid type A receptor subunit alpha4	chr4	46918900	46993581	-
GABRB1	gamma-aminobutyric acid type A receptor subunit beta1	chr4	46993723	47426447	+
COMMD8	COMM domain containing 8	chr4	47450787	47463730	-
ATP10D	ATPase phospholipid transporting 10D (putative)	chr4	47485275	47593486	+
CORIN	corin, serine peptidase	chr4	47593999	47838132	-
NFXL1	nuclear transcription factor, X-box binding like 1	chr4	47847233	47914667	-
NIPAL1	NIPA like domain containing 1	chr4	47914142	48040173	+
CNGA1	cyclic nucleotide gated channel subunit alpha 1	chr4	47935128	48017301	-
TXK	TXK tyrosine kinase	chr4	48063158	48134250	-
TEC	tec protein tyrosine kinase	chr4	48135783	48269858	-
SLAIN2	SLAIN motif family member 2	chr4	48341472	48426201	+
SLC10A4	solute carrier family 10 member 4	chr4	48483343	48489526	+
ZAR1	zygote arrest 1	chr4	48490252	48494389	+
FRYL	FRY like transcription coactivator	chr4	48497357	48780322	-
OCIAD1	OCIA domain containing 1	chr4	48805141	48862342	+
OCIAD2	OCIA domain containing 2	chr4	48885019	48906937	-
CWH43	cell wall biogenesis 43 C-terminal homolog	chr4	48986162	49062093	+
DCUN1D4	defective in cullin neddylation 1 domain containing 4	chr4	51843000	51916839	+
LRRC66	leucine rich repeat containing 66	chr4	51993614	52020363	-
SGCB	sarcoglycan beta	chr4	52020706	52038299	-
SPATA18	spermatogenesis associated 18	chr4	52051304	52097302	+
USP46	ubiquitin specific peptidase 46	chr4	52590960	52659301	-
ERVMER34-1	endogenous retrovirus group MER34 member 1, envelope	chr4	52722618	52751897	-
RASL11B	RAS like family 11 member B	chr4	52862317	52866835	+
SCFD2	sec1 family domain containing 2	chr4	52872982	53366072	-
FIP1L1	factor interacting with PAPOLA and CPSF1	chr4	53377562	53464382	+
LNX1	ligand of numb-protein X 1	chr4	53459301	53701405	-
CHIC2	cysteine rich hydrophobic domain 2	chr4	53994803	54064605	-
GSX2	GS homeobox 2	chr4	54099523	54102498	+
PDGFRA	platelet derived growth factor receptor alpha	chr4	54229130	54298246	+
KIT	KIT proto-oncogene, receptor tyrosine kinase	chr4	54657267	54740783	+
KDR	kinase insert domain receptor	chr4	55078476	55125595	-
SRD5A3	steroid 5 alpha-reductase 3	chr4	55346213	55373100	+
TMEM165	transmembrane protein 165	chr4	55395652	55453397	+
CLOCK	clock circadian regulator	chr4	55427903	55547491	-
PDCL2	phosducin like 2	chr4	55556519	55592245	-
NMU	neuromedin U	chr4	55595229	55636747	-
EXOC1L	exocyst complex component 1 like	chr4	55819790	55837489	+
EXOC1	exocyst complex component 1	chr4	55853628	55905096	+
CEP135	centrosomal protein 135	chr4	55948819	56033361	+
CRACD	capping protein inhibiting regulator of actin dynamics	chr4	56049098	56330609	+
AASDH	aminoadipate-semialdehyde dehydrogenase	chr4	56337994	56387523	-
PPAT	phosphoribosyl pyrophosphate amidotransferase	chr4	56393362	56435616	-
PAICS	phosphoribosylaminoimidazole carboxylase and phosphoribosylaminoimidazolesuccinocarboxamide synthase	chr4	56435058	56464578	+
SRP72	signal recognition particle 72	chr4	56467595	56503681	+
ARL9	ARF like GTPase 9	chr4	56505209	56524959	+
SPMAP2L	sperm microtubule associated protein 2 like	chr4	56530606	56603507	+
HOPX	HOP homeobox	chr4	56647989	56681877	-
SPINK2	serine peptidase inhibitor Kazal type 2	chr4	56809860	56821742	-
REST	RE1 silencing transcription factor	chr4	56907876	56966808	+
NOA1	nitric oxide associated 1	chr4	56962876	56977623	-
POLR2B	RNA polymerase II subunit B	chr4	56977722	57031158	+
IGFBP7	insulin like growth factor binding protein 7	chr4	57030766	57110690	-
ADGRL3	adhesion G protein-coupled receptor L3	chr4	61200326	62078335	+
TECRL	trans-2,3-enoyl-CoA reductase like	chr4	64275257	64409495	-
EPHA5	EPH receptor A5	chr4	65319563	65670495	-
CENPC	centromere protein C	chr4	67468762	67545563	-
STAP1	signal transducing adaptor family member 1	chr4	67558482	67607343	+
UBA6	ubiquitin like modifier activating enzyme 6	chr4	67612652	67701199	-
GNRHR	gonadotropin releasing hormone receptor	chr4	67737118	67754388	-
TMPRSS11D	transmembrane serine protease 11D	chr4	67820876	67884002	-
TMPRSS11A	transmembrane serine protease 11A	chr4	67909395	67964140	-
TMPRSS11F	transmembrane serine protease 11F	chr4	68053198	68129869	-
TMPRSS11B	transmembrane serine protease 11B	chr4	68226653	68245694	-
YTHDC1	YTH N6-methyladenosine RNA binding protein C1	chr4	68310387	68350098	-
TMPRSS11E	transmembrane serine protease 11E	chr4	68447463	68497604	+
UGT2B17	UDP glucuronosyltransferase family 2 member B17	chr4	68537146	68576413	-
UGT2B15	UDP glucuronosyltransferase family 2 member B15	chr4	68646597	68670684	-
UGT2B10	UDP glucuronosyltransferase family 2 member B10	chr4	68815917	68833559	+
UGT2A3	UDP glucuronosyltransferase family 2 member A3	chr4	68928459	68951804	-
UGT2B7	UDP glucuronosyltransferase family 2 member B7	chr4	69051363	69112987	+
UGT2B11	UDP glucuronosyltransferase family 2 member B11	chr4	69199951	69214748	-
UGT2B28	UDP glucuronosyltransferase family 2 member B28	chr4	69280475	69295050	+
UGT2B4	UDP glucuronosyltransferase family 2 member B4	chr4	69480137	69526017	-
UGT2A1	UDP glucuronosyltransferase family 2 member A1 complex locus	chr4	69588417	69653249	-
SULT1B1	sulfotransferase family 1B member 1	chr4	69721167	69787961	-
SULT1E1	sulfotransferase family 1E member 1	chr4	69838259	69861075	-
CSN1S1	casein alpha s1	chr4	69931068	69946574	+
CSN2	casein beta	chr4	69955256	69965728	-
STATH	statherin	chr4	69995966	70002570	+
HTN3	histatin 3	chr4	70028455	70036538	+
HTN1	histatin 1	chr4	70050438	70058848	+
PRR27	proline rich 27	chr4	70133616	70176799	+
ODAM	odontogenic, ameloblast associated	chr4	70195706	70205734	+
FDCSP	follicular dendritic cell secreted protein	chr4	70226124	70235252	+
CSN3	casein kappa	chr4	70238382	70251474	+
CABS1	calcium binding protein, spermatid associated 1	chr4	70334981	70337116	+
SMR3A	submaxillary gland androgen regulated protein 3A	chr4	70360760	70367158	+
SMR3B	submaxillary gland androgen regulated protein 3B	chr4	70370093	70390244	+
OPRPN	opiorphin prepropeptide	chr4	70397931	70410195	+
MUC7	mucin 7, secreted	chr4	70430492	70482997	+
AMTN	amelotin	chr4	70518569	70532743	+
AMBN	ameloblastin	chr4	70592256	70607288	+
ENAM	enamelin	chr4	70628744	70646824	+
JCHAIN	joining chain of multimeric IgA and IgM	chr4	70655541	70681817	-
UTP3	UTP3 small subunit processome component	chr4	70688532	70690551	+
RUFY3	RUN and FYVE domain containing 3	chr4	70704204	70808619	+
GRSF1	G-rich RNA sequence binding factor 1	chr4	70815783	70839903	-
MOB1B	MOB kinase activator 1B	chr4	70902326	71022449	+
DCK	deoxycytidine kinase	chr4	70992538	71030914	+
SLC4A4	solute carrier family 4 member 4	chr4	71062667	71572087	+
GC	GC vitamin D binding protein	chr4	71735436	71805527	-
NPFFR2	neuropeptide FF receptor 2	chr4	72031902	72148311	+
ADAMTS3	ADAM metallopeptidase with thrombospondin type 1 motif 3	chr4	72280969	72569221	-
COX18	cytochrome c oxidase assembly factor COX18	chr4	73052362	73069755	-
ANKRD17	ankyrin repeat domain 17	chr4	73073376	73259147	-
ALB	albumin	chr4	73397114	73426607	+
AFP	alpha fetoprotein	chr4	73431138	73456174	+
AFM	afamin	chr4	73481665	73504036	+
RASSF6	Ras association domain family member 6	chr4	73571550	73620631	-
CXCL8	C-X-C motif chemokine ligand 8	chr4	73740519	73747379	+
CXCL6	C-X-C motif chemokine ligand 6	chr4	73836640	73849064	+
PF4V1	platelet factor 4 variant 1	chr4	73853296	73854483	+
CXCL1	C-X-C motif chemokine ligand 1	chr4	73869392	73871308	+
PF4	platelet factor 4	chr4	73980811	73982027	-
PPBP	pro-platelet basic protein	chr4	73985966	73988276	-
CXCL5	C-X-C motif chemokine ligand 5	chr4	73995642	73998677	-
CXCL3	C-X-C motif chemokine ligand 3	chr4	74036589	74038807	-
CXCL2	C-X-C motif chemokine ligand 2	chr4	74097040	74099196	-
MTHFD2L	methylenetetrahydrofolate dehydrogenase (NADP+ dependent) 2 like	chr4	74114174	74303099	+
EPGN	epithelial mitogen	chr4	74308470	74316789	+
EREG	epiregulin	chr4	74365145	74388749	+
AREG	amphiregulin	chr4	74444999	74455005	+
BTC	betacellulin	chr4	74744759	74794717	-
PARM1	prostate androgen-regulated mucin-like protein 1	chr4	74933041	75050115	+
RCHY1	ring finger and CHY zinc finger domain containing 1	chr4	75479033	75514764	-
THAP6	THAP domain containing 6	chr4	75513946	75550473	+
ODAPH	odontogenesis associated phosphoprotein	chr4	75556048	75565871	+
CDKL2	cyclin dependent kinase like 2	chr4	75576494	75630716	-
G3BP2	G3BP stress granule assembly factor 2	chr4	75641849	75726301	-
USO1	USO1 vesicle transport factor	chr4	75724522	75814290	+
PPEF2	protein phosphatase with EF-hand domain 2	chr4	75859864	75902571	-
NAAA	N-acylethanolamine acid amidase	chr4	75910655	75941013	-
SDAD1	SDA1 domain containing 1	chr4	75940950	75990962	-
CXCL9	C-X-C motif chemokine ligand 9	chr4	76001275	76007509	-
ART3	ADP-ribosyltransferase 3 (inactive)	chr4	76011184	76114094	+
CXCL10	C-X-C motif chemokine ligand 10	chr4	76021118	76023497	-
CXCL11	C-X-C motif chemokine ligand 11	chr4	76033682	76041415	-
NUP54	nucleoporin 54	chr4	76107562	76148509	-
SCARB2	scavenger receptor class B member 2	chr4	76158737	76234536	-
FAM47E	family with sequence similarity 47 member E	chr4	76214040	76284294	+
STBD1	starch binding domain 1	chr4	76306733	76311130	+
CCDC158	coiled-coil domain containing 158	chr4	76312997	76421868	-
SHROOM3	shroom family member 3	chr4	76435229	76783253	+
SOWAHB	sosondowah ankyrin repeat domain family member B	chr4	76894152	76898144	-
SEPTIN11	septin 11	chr4	76949747	77040384	+
CCNI	cyclin I	chr4	77047155	77076319	-
CCNG2	cyclin G2	chr4	77157207	77433388	+
CXCL13	C-X-C motif chemokine ligand 13	chr4	77511753	77611834	+
CNOT6L	CCR4-NOT transcription complex subunit 6 like	chr4	77713387	77819615	-
MRPL1	mitochondrial ribosomal protein L1	chr4	77862826	77952791	+
FRAS1	Fraser extracellular matrix complex subunit 1	chr4	78057323	78544269	+
ANXA3	annexin A3	chr4	78551621	78610493	+
BMP2K	BMP2 inducible kinase	chr4	78776342	78916365	+
PAQR3	progestin and adipoQ receptor family member 3	chr4	78887127	78939438	-
NAA11	N-alpha-acetyltransferase 11, NatA catalytic subunit	chr4	79225694	79326061	-
GK2	glycerol kinase 2	chr4	79406361	79408228	-
ANTXR2	ANTXR cell adhesion molecule 2	chr4	79901146	80125454	-
PRDM8	PR/SET domain 8	chr4	80183879	80204329	+
FGF5	fibroblast growth factor 5	chr4	80266639	80336680	+
CFAP299	cilia and flagella associated protein 299	chr4	80335730	80963750	+
BMP3	bone morphogenetic protein 3	chr4	81030632	81057627	+
PRKG2	protein kinase cGMP-dependent 2	chr4	81086874	81217970	-
RASGEF1B	RasGEF domain family member 1B	chr4	81426393	82044244	-
HNRNPD	heterogeneous nuclear ribonucleoprotein D	chr4	82351523	82374543	-
HNRNPDL	heterogeneous nuclear ribonucleoprotein D like	chr4	82422565	82430471	-
ENOPH1	enolase-phosphatase 1	chr4	82430589	82461177	+
TMEM150C	transmembrane protein 150C	chr4	82483170	82562357	-
SCD5	stearoyl-CoA desaturase 5	chr4	82629539	82798796	-
SEC31A	SEC31 homolog A, COPII coat complex component	chr4	82818081	82901166	-
THAP9	THAP domain containing 9	chr4	82900684	82919969	+
LIN54	lin-54 DREAM MuvB core complex component	chr4	82909973	83012983	-
COPS4	COP9 signalosome subunit 4	chr4	83034447	83075818	+
PLAC8	placenta associated 8	chr4	83059493	83137075	-
COQ2	coenzyme Q2, polyprenyltransferase	chr4	83261536	83284914	-
HPSE	heparanase	chr4	83292461	83335153	-
HELQ	helicase, POLQ like	chr4	83407343	83455855	-
MRPS18C	mitochondrial ribosomal protein S18C	chr4	83455932	83470428	+
ABRAXAS1	abraxas 1, BRCA1 A complex subunit	chr4	83459517	83523348	-
GPAT3	glycerol-3-phosphate acyltransferase 3	chr4	83535619	83605875	+
NKX6-1	NK6 homeobox 1	chr4	84491985	84499292	-
CDS1	CDP-diacylglycerol synthase 1	chr4	84582879	84651334	+
WDFY3	WD repeat and FYVE domain containing 3	chr4	84668765	84966690	-
ARHGAP24	Rho GTPase activating protein 24	chr4	85475150	86002668	+
MAPK10	mitogen-activated protein kinase 10	chr4	85990007	86594625	-
PTPN13	protein tyrosine phosphatase non-receptor type 13	chr4	86593944	86815180	+
SLC10A6	solute carrier family 10 member 6	chr4	86823468	86849384	-
C4orf36	chromosome 4 open reading frame 36	chr4	86886472	86936178	-
AFF1	ALF transcription elongation factor 1	chr4	86934237	87141073	+
KLHL8	kelch like family member 8	chr4	87159981	87240729	-
HSD17B13	hydroxysteroid 17-beta dehydrogenase 13	chr4	87303789	87322945	-
HSD17B11	hydroxysteroid 17-beta dehydrogenase 11	chr4	87336515	87391219	-
NUDT9	nudix hydrolase 9	chr4	87422573	87459455	+
SCPPPQ1	secretory calcium-binding phosphoprotein proline-glutamine rich 1	chr4	87460802	87471050	-
SPARCL1	SPARC like 1	chr4	87473329	87531118	-
DSPP	dentin sialophosphoprotein	chr4	87608529	87616873	+
DMP1	dentin matrix acidic phosphoprotein 1	chr4	87650280	87664361	+
IBSP	integrin binding sialoprotein	chr4	87799546	87813329	+
MEPE	matrix extracellular phosphoglycoprotein	chr4	87821398	87846814	+
SPP1	secreted phosphoprotein 1	chr4	87975667	87983532	+
PKD2	polycystin 2, transient receptor potential cation channel	chr4	88007629	88077777	+
ABCG2	ATP binding cassette subfamily G member 2 (JR blood group)	chr4	88090150	88231818	-
PPM1K	protein phosphatase, Mg2+/Mn2+ dependent 1K	chr4	88257620	88284769	-
HERC6	HECT and RLD domain containing E3 ubiquitin protein ligase family member 6	chr4	88378739	88443098	+
HERC5	HECT and RLD domain containing E3 ubiquitin protein ligase 5	chr4	88457086	88506188	+
PIGY	phosphatidylinositol glycan anchor biosynthesis class Y	chr4	88520998	88523776	-
PYURF	PIGY upstream open reading frame	chr4	88520998	88523776	-
HERC3	HECT and RLD domain containing E3 ubiquitin protein ligase 3	chr4	88523810	88708450	+
NAP1L5	nucleosome assembly protein 1 like 5	chr4	88695913	88697829	-
FAM13A	family with sequence similarity 13 member A	chr4	88725955	89111398	-
TIGD2	tigger transposable element derived 2	chr4	89111533	89114901	+
GPRIN3	GPRIN family member 3	chr4	89236383	89307937	-
SNCA	synuclein alpha	chr4	89700345	89838315	-
MMRN1	multimerin 1	chr4	89879532	89954629	+
CCSER1	coiled-coil serine rich protein 1	chr4	90127394	91605295	+
GRID2	glutamate ionotropic receptor delta type subunit 2	chr4	92303966	93810157	+
ATOH1	atonal bHLH transcription factor 1	chr4	93828753	93830964	+
SMARCAD1	SNF2 related chromatin remodeling ATPase with DExD box 1	chr4	94207605	94291293	+
HPGDS	hematopoietic prostaglandin D synthase	chr4	94298507	94342876	-
PDLIM5	PDZ and LIM domain 5	chr4	94451857	94668227	+
BMPR1B	bone morphogenetic protein receptor type 1B	chr4	94757937	95158448	+
UNC5C	unc-5 netrin receptor C	chr4	95162504	95549206	-
PDHA2	pyruvate dehydrogenase E1 subunit alpha 2	chr4	95840093	95841464	+
STPG2	sperm tail PG-rich repeat containing 2	chr4	97184093	98143476	-
RAP1GDS1	Rap1 GTPase-GDP dissociation stimulator 1	chr4	98261243	98443864	+
TSPAN5	tetraspanin 5	chr4	98470365	98658690	-
EIF4E	eukaryotic translation initiation factor 4E	chr4	98878761	98929150	-
METAP1	methionyl aminopeptidase 1	chr4	98995359	99063443	+
ADH5	alcohol dehydrogenase 5 (class III), chi polypeptide	chr4	99070978	99088801	-
ADH4	alcohol dehydrogenase 4 (class II), pi polypeptide	chr4	99123657	99157792	-
ADH6	alcohol dehydrogenase 6 (class V)	chr4	99202436	99219537	-
ADH1A	alcohol dehydrogenase 1A (class I), alpha polypeptide	chr4	99276365	99291552	-
ADH1B	alcohol dehydrogenase 1B (class I), beta polypeptide	chr4	99304971	99321659	-
ADH1C	alcohol dehydrogenase 1C (class I), gamma polypeptide	chr4	99336093	99353887	-
ADH7	alcohol dehydrogenase 7 (class IV), mu or sigma polypeptide	chr4	99412261	99435510	-
C4orf17	chromosome 4 open reading frame 17	chr4	99511012	99542303	+
TRMT10A	tRNA methyltransferase 10A	chr4	99546709	99564039	-
MTTP	microsomal triglyceride transfer protein	chr4	99564081	99623997	+
C4orf54	chromosome 4 open reading frame 54	chr4	99636529	99657828	-
DAPP1	dual adaptor of phosphotyrosine and 3-phosphoinositides 1	chr4	99816816	99870190	+
LAMTOR3	late endosomal/lysosomal adaptor, MAPK and MTOR activator 3	chr4	99878336	99894428	-
DNAJB14	DnaJ heat shock protein family (Hsp40) member B14	chr4	99896248	99946653	-
H2AZ1	H2A.Z variant histone 1	chr4	99948069	99950367	-
DDIT4L	DNA damage inducible transcript 4 like	chr4	100185870	100190782	-
EMCN	endomucin	chr4	100395341	100880126	-
PPP3CA	protein phosphatase 3 catalytic subunit alpha	chr4	101023409	101348278	-
BANK1	B cell scaffold protein with ankyrin repeats 1	chr4	101411286	102074812	+
SLC39A8	solute carrier family 39 member 8	chr4	102251080	102431258	-
NFKB1	nuclear factor kappa B subunit 1	chr4	102500937	102617302	+
MANBA	mannosidase beta	chr4	102630770	102760999	-
UBE2D3	ubiquitin conjugating enzyme E2 D3	chr4	102793516	102869287	-
CISD2	CDGSH iron sulfur domain 2	chr4	102868971	102892807	+
SLC9B1	solute carrier family 9 member B1	chr4	102885048	103019719	-
SLC9B2	solute carrier family 9 member B2	chr4	103019868	103085829	-
BDH2	3-hydroxybutyrate dehydrogenase 2	chr4	103077592	103099880	-
CENPE	centromere protein E	chr4	103105349	103198463	-
TACR3	tachykinin receptor 3	chr4	103586031	103719985	-
CXXC4	CXXC finger protein 4	chr4	104468308	104494901	-
TET2	tet methylcytosine dioxygenase 2	chr4	105145875	105279816	+
PPA2	inorganic pyrophosphatase 2	chr4	105369077	105474113	-
ARHGEF38	Rho guanine nucleotide exchange factor 38	chr4	105552620	105708093	+
INTS12	integrator complex subunit 12	chr4	105682016	105895986	-
GSTCD	glutathione S-transferase C-terminal domain containing	chr4	105708778	105849570	+
NPNT	nephronectin	chr4	105894775	106004027	+
TBCK	TBC1 domain containing kinase	chr4	106041599	106316683	-
AIMP1	aminoacyl tRNA synthetase complex interacting multifunctional protein 1	chr4	106315544	106349456	+
GIMD1	GIMAP family P-loop NTPase domain containing 1	chr4	106357392	106368778	-
DKK2	dickkopf WNT signaling pathway inhibitor 2	chr4	106921802	107283806	-
PAPSS1	3'-phosphoadenosine 5'-phosphosulfate synthase 1	chr4	107590276	107720395	-
SGMS2	sphingomyelin synthase 2	chr4	107824563	107915047	+
CYP2U1	cytochrome P450 family 2 subfamily U member 1	chr4	107931531	107953465	+
HADH	hydroxyacyl-CoA dehydrogenase	chr4	107989714	108035241	+
LEF1	lymphoid enhancer binding factor 1	chr4	108047545	108168956	-
RPL34	ribosomal protein L34	chr4	108620508	108632886	+
OSTC	oligosaccharyltransferase complex non-catalytic subunit	chr4	108650585	108667820	+
ETNPPL	ethanolamine-phosphate phospho-lyase	chr4	108741969	108763228	-
COL25A1	collagen type XXV alpha 1 chain	chr4	108808725	109302752	-
SEC24B	SEC24 homolog B, COPII coat complex component	chr4	109433602	109540896	+
MCUB	mitochondrial calcium uniporter dominant negative subunit beta	chr4	109560209	109688719	+
CASP6	caspase 6	chr4	109688622	109703583	-
PLA2G12A	phospholipase A2 group XIIA	chr4	109709989	109730070	-
CFI	complement factor I	chr4	109731008	109802195	-
GAR1	GAR1 ribonucleoprotein	chr4	109815500	109825575	+
RRH	retinal pigment epithelium-derived rhodopsin homolog	chr4	109827972	109849123	+
LRIT3	leucine rich repeat, Ig-like and transmembrane domains 3	chr4	109846013	109872315	+
EGF	epidermal growth factor	chr4	109912883	110013766	+
ELOVL6	ELOVL fatty acid elongase 6	chr4	110045846	110199199	-
ENPEP	glutamyl aminopeptidase	chr4	110365733	110565285	+
PITX2	paired like homeodomain 2	chr4	110617423	110642123	-
FAM241A	family with sequence similarity 241 member A	chr4	112145454	112195256	+
AP1AR	adaptor related protein complex 1 associated regulatory protein	chr4	112231363	112273110	+
TIFA	TRAF interacting protein with forkhead associated domain	chr4	112272968	112285955	-
ALPK1	alpha kinase 1	chr4	112285509	112442621	+
NEUROG2	neurogenin 2	chr4	112513516	112516180	-
ZGRF1	zinc finger GRF-type containing 1	chr4	112539333	112637392	-
LARP7	La ribonucleoprotein 7, transcriptional regulator	chr4	112636990	112657858	+
ANK2	ankyrin 2	chr4	112818032	113384231	+
CAMK2D	calcium/calmodulin dependent protein kinase II delta	chr4	113418054	113761927	-
ARSJ	arylsulfatase family member J	chr4	113900284	113979727	-
UGT8	UDP glycosyltransferase 8	chr4	114598374	114678588	+
NDST4	N-deacetylase and N-sulfotransferase 4	chr4	114827763	115113876	-
TRAM1L1	translocation associated membrane protein 1 like 1	chr4	117083554	117085576	-
NDST3	N-deacetylase and N-sulfotransferase 3	chr4	118033579	118258634	+
PRSS12	serine protease 12	chr4	118280038	118353003	-
METTL14	methyltransferase 14, N6-adenosine-methyltransferase non-catalytic subunit	chr4	118685387	118715433	+
SEC24D	SEC24 homolog D, COPII coat complex component	chr4	118722822	118838683	-
SYNPO2	synaptopodin 2	chr4	118850688	119061247	+
MYOZ2	myozenin 2	chr4	119128431	119187789	+
USP53	ubiquitin specific peptidase 53	chr4	119212128	119295518	+
ARLN	allregulin	chr4	119296419	119304445	-
FABP2	fatty acid binding protein 2	chr4	119317250	119322138	-
PDE5A	phosphodiesterase 5A	chr4	119494397	119628804	-
MAD2L1	mitotic arrest deficient 2 like 1	chr4	120055623	120067192	-
PRDM5	PR/SET domain 5	chr4	120684919	120923089	-
NDNF	neuron derived neurotrophic factor	chr4	121033326	121074085	-
TNIP3	TNFAIP3 interacting protein 3	chr4	121131408	121227615	-
QRFPR	pyroglutamylated RFamide peptide receptor	chr4	121328595	121381059	-
ANXA5	annexin A5	chr4	121667396	121697061	-
SMIM43	small integral membrane protein 43	chr4	121758881	121765427	-
EXOSC9	exosome component 9	chr4	121801318	121817021	+
CCNA2	cyclin A2	chr4	121816444	121823917	-
BBS7	Bardet-Biedl syndrome 7	chr4	121824329	121870494	-
TRPC3	transient receptor potential cation channel subfamily C member 3	chr4	121874481	121952060	-
BLTP1	bridge-like lipid transfer protein family member 1	chr4	122152331	122364167	+
ADAD1	adenosine deaminase domain containing 1	chr4	122378966	122429802	+
IL2	interleukin 2	chr4	122451470	122456725	-
IL21	interleukin 21	chr4	122610108	122621066	-
BBS12	Bardet-Biedl syndrome 12	chr4	122732702	122744942	+
FGF2	fibroblast growth factor 2	chr4	122826682	122898236	+
NUDT6	nudix hydrolase 6	chr4	122888697	122922968	-
AFG2A	AFG2 AAA ATPase homolog A	chr4	122923070	123319433	+
SPRY1	sprouty RTK signaling antagonist 1	chr4	123396754	123403760	+
ANKRD50	ankyrin repeat domain containing 50	chr4	124664048	124712732	-
FAT4	FAT atypical cadherin 4	chr4	125314918	125492932	+
INTU	inturned planar cell polarity protein	chr4	127623271	127726737	+
SLC25A31	solute carrier family 25 member 31	chr4	127730400	127774292	+
HSPA4L	heat shock protein family A (Hsp70) member 4 like	chr4	127781821	127840733	+
PLK4	polo like kinase 4	chr4	127880890	127899224	+
MFSD8	major facilitator superfamily domain containing 8	chr4	127917799	127966034	-
ABHD18	abhydrolase domain containing 18	chr4	127965267	128039953	+
LARP1B	La ribonucleoprotein 1B	chr4	128060801	128222931	+
PGRMC2	progesterone receptor membrane component 2	chr4	128269237	128288829	-
JADE1	jade family PHD finger 1	chr4	128809576	128875224	+
SCLT1	sodium channel and clathrin linker 1	chr4	128864921	129093600	-
C4orf33	chromosome 4 open reading frame 33	chr4	129093317	129116640	+
PCDH10	protocadherin 10	chr4	133149294	133208606	+
PABPC4L	poly(A) binding protein cytoplasmic 4 like	chr4	134196333	134201885	-
PCDH18	protocadherin 18	chr4	137518918	137532494	-
SLC7A11	solute carrier family 7 member 11	chr4	138164097	138242349	-
NOCT	nocturnin	chr4	139015772	139045939	+
ELF2	E74 like ETS transcription factor 2	chr4	139028112	139177224	-
MGARP	mitochondria localized glutamic acid rich protein	chr4	139266165	139280346	-
NDUFC1	NADH:ubiquinone oxidoreductase subunit C1	chr4	139266880	139302564	-
NAA15	N-alpha-acetyltransferase 15, NatA auxiliary subunit	chr4	139301446	139420033	+
RAB33B	RAB33B, member RAS oncogene family	chr4	139453232	139476609	+
SETD7	SET domain containing 7, histone lysine methyltransferase	chr4	139492974	139606699	-
MGST2	microsomal glutathione S-transferase 2	chr4	139665768	139741884	+
MAML3	mastermind like transcriptional coactivator 3	chr4	139716753	140154212	-
SCOC	short coiled-coil protein	chr4	140257286	140385728	+
CLGN	calmegin	chr4	140387952	140427661	-
MGAT4D	MGAT4 family member D	chr4	140442262	140498377	-
ELMOD2	ELMO domain containing 2	chr4	140524164	140553775	+
UCP1	uncoupling protein 1	chr4	140559431	140569001	-
TBC1D9	TBC1 domain family member 9	chr4	140620782	140756982	-
RNF150	ring finger protein 150	chr4	140859807	141212877	-
ZNF330	zinc finger protein 330	chr4	141220280	141234697	+
IL15	interleukin 15	chr4	141636237	141735276	+
INPP4B	inositol polyphosphate-4-phosphatase type II B	chr4	142023160	142847432	-
USP38	ubiquitin specific peptidase 38	chr4	143184917	143225212	+
GAB1	GRB2 associated binding protein 1	chr4	143336402	143474565	+
SMARCA5	SNF2 related chromatin remodeling ATPase 5	chr4	143513445	143557486	+
FREM3	FRAS1 related extracellular matrix 3	chr4	143577302	143700675	-
GYPE	glycophorin E (MNS blood group)	chr4	143870864	143905563	-
GYPB	glycophorin B (MNS blood group)	chr4	143996104	144019380	-
GYPA	glycophorin A (MNS blood group)	chr4	144109303	144140751	-
HHIP	hedgehog interacting protein	chr4	144646156	144745271	+
ANAPC10	anaphase promoting complex subunit 10	chr4	144831908	145098823	-
ABCE1	ATP binding cassette subfamily E member 1	chr4	145098248	145129524	+
OTUD4	OTU deubiquitinase 4	chr4	145110838	145180621	-
SMAD1	SMAD family member 1	chr4	145480769	145559176	+
MMAA	metabolism of cobalamin associated A	chr4	145599042	145660033	+
C4orf51	chromosome 4 open reading frame 51	chr4	145680146	145771032	+
ZNF827	zinc finger protein 827	chr4	145757627	145938823	-
LSM6	LSM6 homolog, U6 small nuclear RNA and mRNA degradation associated	chr4	146175685	146204436	+
REELD1	reeler domain containing 1	chr4	146214515	146232267	+
SLC10A7	solute carrier family 10 member 7	chr4	146253975	146522372	-
POU4F2	POU class 4 homeobox 2	chr4	146638893	146642474	+
TTC29	tetratricopeptide repeat domain 29	chr4	146706617	146945882	-
EDNRA	endothelin receptor type A	chr4	147480917	147544954	+
TMEM184C	transmembrane protein 184C	chr4	147617386	147672044	+
PRMT9	protein arginine methyltransferase 9	chr4	147635654	147684163	-
